shift,N,pearsons_r,kendall,spearman,mse,explained_variance_score,r2,rmse
-21,310,0.226916,0.160108,0.261133,0.059564,-0.360101,-0.361599,0.244058
-20,311,0.255668,0.181982,0.286308,0.057331,-0.309722,-0.31083,0.23944
-19,312,0.285648,0.205045,0.31262,0.054997,-0.257012,-0.25781,0.234514
-18,313,0.316486,0.228405,0.34023,0.052592,-0.202885,-0.203437,0.229329
-17,314,0.347669,0.250816,0.368444,0.050182,-0.148193,-0.148534,0.224014
-16,315,0.378763,0.272639,0.396482,0.047808,-0.093772,-0.093938,0.21865
-15,316,0.410267,0.295037,0.425419,0.045421,-0.038516,-0.038567,0.213121
-14,317,0.443215,0.32131,0.457601,0.042929,0.019461,0.019459,0.207193
-13,318,0.47844,0.349815,0.493407,0.04026,0.081526,0.081514,0.20065
-12,319,0.516211,0.379216,0.533239,0.0374,0.147922,0.147861,0.193391
-11,320,0.556699,0.411567,0.577021,0.034357,0.218928,0.218778,0.185357
-10,321,0.599832,0.446187,0.623857,0.03112,0.294109,0.293837,0.176409
-9,322,0.645286,0.483989,0.671485,0.027716,0.372828,0.37238,0.166481
-8,323,0.692897,0.524535,0.719355,0.024155,0.454791,0.454109,0.15542
-7,324,0.742616,0.571319,0.768373,0.020439,0.539948,0.538997,0.142963
-6,325,0.793354,0.623573,0.817674,0.016647,0.626429,0.625199,0.129022
-5,326,0.842611,0.681048,0.864874,0.012968,0.709982,0.708481,0.113875
-4,327,0.887626,0.740021,0.906535,0.009604,0.786012,0.784274,0.098001
-3,327,0.925982,0.79666,0.940413,0.006721,0.850783,0.849044,0.081982
-2,327,0.953257,0.84176,0.962396,0.004673,0.896818,0.895065,0.068362
-1,327,0.967234,0.863364,0.970795,0.00363,0.920343,0.918542,0.060253
0,327,0.967184,0.849554,0.966038,0.003647,0.920156,0.918247,0.060392
1,327,0.952186,0.810697,0.948663,0.004783,0.894816,0.89282,0.069162
2,327,0.922974,0.75769,0.919438,0.006987,0.845548,0.843439,0.083587
3,326,0.883141,0.69993,0.88155,0.010031,0.77826,0.775741,0.100156
4,325,0.834261,0.639685,0.836241,0.013764,0.695947,0.69297,0.117322
5,324,0.780716,0.582359,0.786276,0.017856,0.606062,0.602533,0.133625
6,323,0.726688,0.531736,0.735277,0.021977,0.515752,0.511498,0.148246
7,322,0.674467,0.486744,0.683836,0.025958,0.429016,0.423948,0.161115
8,321,0.62573,0.446759,0.635156,0.029672,0.348454,0.3425,0.172257
9,320,0.580966,0.412453,0.590558,0.033097,0.27463,0.267805,0.181926
10,319,0.540473,0.382911,0.550752,0.036208,0.20781,0.200097,0.190284
11,318,0.503873,0.356721,0.514851,0.039035,0.147525,0.138903,0.197573
12,317,0.470355,0.331989,0.481614,0.041627,0.092914,0.083274,0.204027
13,316,0.43935,0.310255,0.450195,0.044001,0.043436,0.032548,0.209764
14,315,0.410191,0.2905,0.420745,0.046188,-0.002058,-0.014498,0.214914
15,314,0.381437,0.271244,0.392761,0.048322,-0.046315,-0.060482,0.219824
16,313,0.352038,0.24963,0.365132,0.05055,-0.092247,-0.108012,0.224832
17,312,0.32211,0.22637,0.337605,0.052858,-0.139986,-0.157207,0.229909
18,311,0.292208,0.202602,0.309843,0.055193,-0.188441,-0.207004,0.234932
19,310,0.262505,0.179028,0.281607,0.057524,-0.236434,-0.256357,0.239842
20,309,0.233348,0.156767,0.253454,0.059804,-0.283193,-0.304649,0.244549
