shift,N,pearsons_r,kendall,spearman,mse,explained_variance_score,r2,rmse
-21,250,0.071495,0.201141,0.298032,0.144603,-2.148484,-2.163989,0.380267
-20,251,0.145031,0.254332,0.372029,0.134259,-1.905233,-1.921201,0.366414
-19,252,0.221943,0.3072,0.442743,0.123437,-1.656367,-1.672573,0.351336
-18,253,0.301777,0.355502,0.508319,0.112195,-1.402388,-1.418659,0.334955
-17,254,0.384023,0.402304,0.568036,0.100571,-1.144024,-1.16027,0.317129
-16,255,0.467849,0.444387,0.620908,0.088659,-0.883317,-0.89951,0.297756
-15,256,0.551717,0.48244,0.667089,0.076706,-0.623702,-0.639862,0.276958
-14,257,0.632932,0.516122,0.706604,0.065114,-0.373996,-0.390062,0.255174
-13,258,0.708394,0.544773,0.738251,0.054352,-0.14383,-0.15964,0.233135
-12,259,0.775109,0.566382,0.761142,0.044852,0.058581,0.043157,0.211783
-11,260,0.830624,0.581368,0.775766,0.036917,0.22882,0.213556,0.192138
-10,261,0.871906,0.590048,0.781563,0.030968,0.356622,0.341321,0.175978
-9,262,0.894723,0.596791,0.778467,0.02761,0.429352,0.413739,0.166162
-8,262,0.893939,0.596142,0.767356,0.027683,0.430482,0.414417,0.166383
-7,262,0.866014,0.586234,0.748418,0.03162,0.349552,0.33318,0.177821
-6,262,0.810314,0.570015,0.724653,0.039521,0.187127,0.170234,0.198799
-5,262,0.730582,0.550848,0.694656,0.050889,-0.046086,-0.063526,0.225587
-4,262,0.633622,0.525664,0.65913,0.064771,-0.330507,-0.348434,0.254501
-3,262,0.527163,0.495144,0.618639,0.080068,-0.64213,-0.66055,0.282963
-2,262,0.418396,0.46073,0.573171,0.095745,-0.960117,-0.978998,0.309427
-1,262,0.312626,0.420921,0.522617,0.111048,-1.268024,-1.287382,0.333238
0,262,0.21231,0.378988,0.46818,0.125599,-1.559624,-1.579416,0.3544
1,262,0.117947,0.334224,0.410459,0.139294,-1.834537,-1.85467,0.373222
2,262,0.030311,0.287691,0.350489,0.152042,-2.089276,-2.109757,0.389926
3,262,-0.049551,0.237826,0.287375,0.163678,-2.321145,-2.341966,0.404572
4,262,-0.119527,0.187548,0.222838,0.173925,-2.522831,-2.544064,0.417043
5,262,-0.178398,0.137948,0.15916,0.182582,-2.691576,-2.713238,0.427296
6,262,-0.225293,0.093685,0.099395,0.189579,-2.822825,-2.845059,0.435407
7,262,-0.26128,0.052991,0.04499,0.19503,-2.92117,-2.944034,0.441622
8,262,-0.286936,0.014096,-0.004018,0.199076,-2.986345,-3.010008,0.446179
9,262,-0.30368,-0.022706,-0.046884,0.201885,-3.023754,-3.048312,0.449316
10,262,-0.312243,-0.053964,-0.083424,0.203574,-3.0351,-3.060636,0.451191
11,262,-0.314241,-0.079383,-0.114515,0.204269,-3.028616,-3.055082,0.451961
12,262,-0.310728,-0.097961,-0.13808,0.204161,-3.006054,-3.033453,0.451841
13,262,-0.303736,-0.111644,-0.155374,0.203487,-2.975203,-3.00345,0.451095
14,262,-0.29436,-0.122968,-0.166231,0.202426,-2.938676,-2.967765,0.449917
15,262,-0.283573,-0.129986,-0.171301,0.201105,-2.899851,-2.929806,0.448447
16,262,-0.271924,-0.133996,-0.171908,0.199612,-2.860097,-2.89096,0.44678
17,262,-0.260064,-0.135353,-0.169616,0.198046,-2.821169,-2.852938,0.445023
18,262,-0.248354,-0.134055,-0.164916,0.196479,-2.783406,-2.816089,0.443259
19,262,-0.237145,-0.127981,-0.156445,0.194968,-2.747664,-2.781258,0.441552
20,262,-0.226694,-0.120107,-0.145263,0.193559,-2.714676,-2.749302,0.439953
