shift,N,pearsons_r,kendall,spearman,mse,explained_variance_score,r2,rmse
-21,352,0.19976,0.229295,0.340871,0.14019,-0.711252,-0.716064,0.37442
-20,353,0.263196,0.261342,0.382257,0.129189,-0.569328,-0.573542,0.359429
-19,354,0.330198,0.292418,0.42128,0.117505,-0.421448,-0.425061,0.34279
-18,355,0.396736,0.320707,0.455741,0.10581,-0.276882,-0.279995,0.325284
-17,356,0.46021,0.346231,0.485328,0.094599,-0.140494,-0.1432,0.307569
-16,357,0.519743,0.365457,0.508653,0.084078,-0.013255,-0.015601,0.289962
-15,358,0.57501,0.379583,0.525379,0.074318,0.104303,0.102307,0.272614
-14,359,0.626348,0.389602,0.537999,0.065263,0.212877,0.211212,0.255467
-13,360,0.67218,0.39834,0.549631,0.057188,0.309288,0.30792,0.23914
-12,361,0.708817,0.407208,0.562218,0.050733,0.386183,0.385081,0.22524
-11,362,0.732357,0.416315,0.575107,0.046554,0.43552,0.434622,0.215763
-10,363,0.741587,0.422532,0.585099,0.044848,0.454924,0.454174,0.211773
-9,364,0.738251,0.423375,0.586853,0.045306,0.447945,0.447302,0.212852
-8,364,0.725335,0.414955,0.575642,0.047512,0.420643,0.420085,0.217972
-7,364,0.704096,0.398206,0.553774,0.051168,0.376032,0.375448,0.226203
-6,364,0.670761,0.371847,0.518537,0.056874,0.305606,0.305078,0.238482
-5,364,0.62136,0.338532,0.474895,0.065268,0.200349,0.199952,0.255476
-4,364,0.5522,0.298292,0.421158,0.077041,0.053353,0.053063,0.277562
-3,364,0.46834,0.255978,0.362985,0.091125,-0.127655,-0.127785,0.301868
-2,364,0.37492,0.212778,0.301853,0.106501,-0.333897,-0.333912,0.326345
-1,364,0.27578,0.170372,0.240925,0.122393,-0.55921,-0.559243,0.349847
0,364,0.173091,0.131505,0.182511,0.139548,-0.78181,-0.781972,0.373561
1,364,0.071658,0.096421,0.129977,0.155952,-1.010006,-1.010506,0.394908
2,364,-0.023547,0.066248,0.085298,0.171926,-1.21544,-1.216331,0.41464
3,364,-0.107322,0.040774,0.049022,0.186375,-1.39028,-1.391382,0.431712
4,364,-0.177484,0.018045,0.017922,0.19858,-1.535355,-1.536658,0.445623
5,364,-0.231918,-0.0027,-0.008546,0.207957,-1.649224,-1.650596,0.456023
6,364,-0.269944,-0.020761,-0.03228,0.21407,-1.734893,-1.736196,0.462677
7,364,-0.292436,-0.036686,-0.053393,0.217885,-1.78277,-1.784083,0.466781
8,364,-0.302267,-0.04956,-0.070071,0.219614,-1.802843,-1.80418,0.46863
9,364,-0.302448,-0.059323,-0.081289,0.219792,-1.801197,-1.80259,0.468819
10,364,-0.296345,-0.070031,-0.091244,0.219034,-1.784443,-1.785987,0.46801
11,364,-0.285872,-0.081807,-0.102315,0.217511,-1.758769,-1.760499,0.466381
12,364,-0.271298,-0.088641,-0.110428,0.215257,-1.724871,-1.726786,0.463958
13,364,-0.252856,-0.089038,-0.112726,0.212313,-1.68327,-1.685409,0.460774
14,364,-0.230856,-0.083851,-0.107697,0.208704,-1.635016,-1.637447,0.456841
15,364,-0.205868,-0.075157,-0.096058,0.204609,-1.580074,-1.582766,0.452337
16,364,-0.179167,-0.062313,-0.078893,0.200228,-1.521345,-1.524247,0.447469
17,364,-0.152302,-0.048004,-0.060022,0.195803,-1.462458,-1.465528,0.442497
18,364,-0.126072,-0.035252,-0.043076,0.191395,-1.406041,-1.409144,0.437488
19,364,-0.101229,-0.02311,-0.028759,0.187156,-1.353453,-1.356531,0.432615
20,364,-0.077809,-0.013103,-0.01608,0.183098,-1.304707,-1.307715,0.427899
