shift,N,pearsons_r,kendall,spearman,mse,explained_variance_score,r2,rmse
-21,333,-0.137016,0.033444,0.067116,0.584518,-0.359308,-0.369439,0.764538
-20,334,-0.128946,0.061544,0.102915,0.579647,-0.351487,-0.361458,0.761345
-19,335,-0.119442,0.093199,0.14474,0.574236,-0.342374,-0.352241,0.757784
-18,336,-0.107888,0.127845,0.192383,0.568048,-0.331374,-0.341176,0.753689
-17,337,-0.092608,0.164767,0.24339,0.560381,-0.316848,-0.326613,0.748586
-16,338,-0.072043,0.205053,0.297092,0.550653,-0.297182,-0.306845,0.74206
-15,339,-0.044728,0.247593,0.353484,0.538281,-0.271003,-0.280519,0.733677
-14,339,-0.010206,0.292127,0.41303,0.524367,-0.23805,-0.247598,0.724132
-13,339,0.03153,0.33747,0.475968,0.507636,-0.198146,-0.20767,0.712486
-12,339,0.079046,0.387774,0.541551,0.488612,-0.152702,-0.162177,0.699008
-11,339,0.132547,0.441067,0.608567,0.467207,-0.101536,-0.110933,0.683525
-10,339,0.193602,0.496646,0.675148,0.442804,-0.043145,-0.052422,0.665436
-9,339,0.264189,0.555709,0.739828,0.414595,0.024333,0.01521,0.643891
-8,339,0.345522,0.617268,0.800307,0.382055,0.10203,0.093064,0.618106
-7,339,0.43695,0.678054,0.854015,0.345436,0.189312,0.1805,0.587738
-6,339,0.53417,0.736694,0.898861,0.306463,0.282065,0.273404,0.553591
-5,339,0.629961,0.788017,0.931366,0.26804,0.373399,0.364886,0.517726
-4,339,0.717447,0.82724,0.949755,0.232937,0.456762,0.448393,0.482635
-3,339,0.79205,0.843808,0.952776,0.203008,0.52779,0.51957,0.450564
-2,339,0.849171,0.82935,0.938903,0.18008,0.58214,0.574043,0.424359
-1,339,0.881868,0.788088,0.912122,0.166976,0.613206,0.605222,0.408627
0,339,0.879975,0.732614,0.874449,0.167803,0.611317,0.603444,0.409638
1,339,0.832182,0.668943,0.826974,0.187117,0.565739,0.557958,0.43257
2,339,0.734548,0.60063,0.771071,0.226513,0.472737,0.465031,0.475934
3,339,0.598114,0.53316,0.708873,0.281548,0.342828,0.335183,0.530611
4,339,0.446015,0.469982,0.643341,0.3429,0.198033,0.190444,0.585577
5,339,0.303262,0.41187,0.575589,0.40049,0.062156,0.054626,0.632843
6,339,0.187386,0.360371,0.50822,0.447249,-0.048118,-0.055581,0.668767
7,339,0.103137,0.312565,0.441373,0.481258,-0.128278,-0.135684,0.693728
8,339,0.044267,0.266765,0.376541,0.505052,-0.184265,-0.191599,0.71067
9,339,-0.000657,0.223638,0.314558,0.523233,-0.226966,-0.23423,0.723348
10,339,-0.039502,0.183008,0.256429,0.538954,-0.263886,-0.271102,0.734135
11,339,-0.073902,0.147937,0.205059,0.552856,-0.296596,-0.303794,0.743543
12,339,-0.102344,0.116207,0.160362,0.56435,-0.32364,-0.330825,0.751233
13,339,-0.123714,0.087081,0.121126,0.573006,-0.343943,-0.351106,0.756972
14,339,-0.137942,0.061894,0.089234,0.578733,-0.357489,-0.36466,0.760745
15,339,-0.146764,0.041913,0.066946,0.582236,-0.365927,-0.373129,0.763044
16,339,-0.152547,0.026998,0.052319,0.584465,-0.371512,-0.37877,0.764503
17,339,-0.156317,0.01648,0.042817,0.585858,-0.375202,-0.382527,0.765414
18,339,-0.158307,0.008601,0.03548,0.58652,-0.37721,-0.384609,0.765846
19,339,-0.158663,0.002937,0.029022,0.586517,-0.377666,-0.385144,0.765844
20,339,-0.157114,-0.000651,0.024268,0.585702,-0.376344,-0.383921,0.765312
