shift,N,pearsons_r,kendall,spearman,mse,explained_variance_score,r2,rmse
-21,272,-0.257296,-0.166202,-0.246028,0.254851,-1.59136,-1.597013,0.504827
-20,273,-0.265116,-0.165093,-0.245497,0.255645,-1.60919,-1.614583,0.505614
-19,274,-0.263153,-0.157505,-0.232887,0.25435,-1.605632,-1.610841,0.504331
-18,275,-0.250405,-0.13977,-0.208582,0.250873,-1.579343,-1.584492,0.500872
-17,276,-0.22617,-0.114295,-0.172802,0.245159,-1.529045,-1.534112,0.495135
-16,277,-0.19107,-0.085027,-0.127351,0.237361,-1.456347,-1.461366,0.487197
-15,278,-0.145948,-0.048166,-0.070294,0.227712,-1.362905,-1.367885,0.477192
-14,279,-0.092062,-0.006939,-0.007052,0.216466,-1.251822,-1.256822,0.465259
-13,280,-0.029469,0.037854,0.062195,0.203649,-1.123016,-1.128058,0.451275
-12,281,0.04202,0.083798,0.133766,0.189179,-0.976022,-0.981125,0.434947
-11,282,0.122604,0.129798,0.206087,0.172969,-0.810338,-0.815517,0.415896
-10,283,0.212972,0.176559,0.279317,0.15493,-0.623767,-0.628939,0.393611
-9,283,0.310475,0.222675,0.349986,0.135835,-0.422357,-0.427476,0.368558
-8,283,0.413684,0.270609,0.419076,0.11566,-0.208608,-0.213571,0.340089
-7,283,0.516798,0.317685,0.482174,0.095501,0.005007,0.000262,0.309032
-6,283,0.614276,0.36471,0.539676,0.076441,0.207097,0.202671,0.276479
-5,283,0.700831,0.40825,0.588977,0.059474,0.386172,0.382083,0.243873
-4,283,0.771369,0.448557,0.629452,0.045623,0.532003,0.528283,0.213594
-3,283,0.820351,0.479975,0.659493,0.035972,0.633028,0.629635,0.189663
-2,283,0.841268,0.49927,0.676956,0.03186,0.676534,0.673467,0.178493
-1,283,0.827529,0.507705,0.68226,0.034617,0.649203,0.646387,0.186055
0,283,0.776127,0.499573,0.673037,0.04489,0.545552,0.542983,0.211873
1,283,0.691509,0.477399,0.650525,0.061803,0.374595,0.372202,0.248603
2,283,0.585195,0.448709,0.617821,0.083078,0.159973,0.157746,0.288232
3,283,0.472181,0.412443,0.575382,0.105719,-0.067962,-0.070047,0.325144
4,283,0.365518,0.371378,0.525419,0.127103,-0.282959,-0.284925,0.356515
5,283,0.273379,0.33102,0.473443,0.14564,-0.467923,-0.469696,0.381628
6,283,0.196265,0.291117,0.417418,0.161172,-0.622526,-0.624117,0.401462
7,283,0.133117,0.252981,0.362162,0.173949,-0.748419,-0.749748,0.417072
8,283,0.080434,0.217927,0.307604,0.184584,-0.85363,-0.854655,0.429633
9,283,0.036282,0.185802,0.256658,0.193404,-0.942693,-0.943407,0.439777
10,283,-0.00134,0.152769,0.20935,0.200876,-1.019027,-1.01947,0.448192
11,283,-0.033123,0.121907,0.167498,0.206789,-1.087585,-1.087783,0.454741
12,283,-0.060553,0.09256,0.129518,0.211567,-1.150221,-1.150263,0.459964
13,283,-0.085341,0.06281,0.091648,0.215823,-1.207641,-1.207641,0.464568
14,283,-0.108361,0.033968,0.053954,0.219851,-1.260322,-1.260362,0.468883
15,283,-0.130619,0.004824,0.013534,0.224051,-1.308047,-1.308146,0.473341
16,283,-0.150996,-0.022957,-0.025707,0.22806,-1.349991,-1.350142,0.477557
17,283,-0.169495,-0.050485,-0.063929,0.231723,-1.387808,-1.387991,0.481376
18,283,-0.1853,-0.078114,-0.099273,0.23487,-1.419901,-1.420091,0.484634
19,283,-0.199211,-0.104935,-0.135596,0.237527,-1.449329,-1.449495,0.487368
20,283,-0.210947,-0.126756,-0.167375,0.239794,-1.473894,-1.47405,0.489688
