date,count,mean,std,min,5%,50%,95%,max
2021-01-01,7.0,0.916543,0.02357,0.890131,0.893215,0.906141,0.950668,0.954743
2021-01-02,7.0,0.905758,0.015278,0.8881,0.890124,0.901917,0.928827,0.934736
2021-01-03,7.0,0.896718,0.014645,0.87587,0.877873,0.901748,0.913175,0.914262
2021-01-04,7.0,0.891236,0.022159,0.859891,0.861821,0.893005,0.91434,0.916477
2021-01-05,7.0,0.890746,0.031892,0.835256,0.845864,0.89759,0.921266,0.922808
2021-01-06,7.0,0.896611,0.036185,0.842917,0.845359,0.912378,0.928746,0.929627
2021-01-07,7.0,0.907753,0.035395,0.856882,0.857301,0.928616,0.936187,0.93639
2021-01-08,7.0,0.919433,0.032755,0.868533,0.870826,0.934775,0.945786,0.946211
2021-01-09,7.0,0.930165,0.029949,0.881908,0.886331,0.941804,0.960718,0.965011
2021-01-10,7.0,0.939485,0.029184,0.897043,0.903828,0.936713,0.978235,0.980229
2021-01-11,7.0,0.944584,0.026887,0.913927,0.9181,0.933452,0.984954,0.992069
2021-01-12,7.0,0.944103,0.021718,0.925322,0.925493,0.932491,0.974662,0.977606
2021-01-13,7.0,0.938519,0.018141,0.920107,0.920616,0.935117,0.961712,0.963414
2021-01-14,7.0,0.928858,0.015877,0.914029,0.914487,0.919842,0.950779,0.954262
2021-01-15,7.0,0.918333,0.015452,0.900032,0.902526,0.916293,0.941166,0.944901
2021-01-16,7.0,0.908112,0.017507,0.881213,0.885704,0.906773,0.931244,0.935263
2021-01-17,7.0,0.898876,0.021494,0.864888,0.867608,0.905897,0.920934,0.925275
2021-01-18,7.0,0.893162,0.021906,0.854765,0.859428,0.903872,0.911902,0.914854
2021-01-19,7.0,0.891954,0.016406,0.861978,0.867567,0.899642,0.905362,0.905518
2021-01-20,7.0,0.893455,0.013006,0.87533,0.87576,0.894849,0.906038,0.906271
2021-01-21,7.0,0.89858,0.009162,0.885386,0.886936,0.902302,0.907559,0.907703
2021-01-22,7.0,0.906645,0.007232,0.898498,0.898879,0.90765,0.916534,0.919634
2021-01-23,7.0,0.916934,0.009934,0.90982,0.910111,0.911736,0.932672,0.935287
2021-01-24,7.0,0.928624,0.014507,0.913601,0.915067,0.922862,0.949274,0.950171
