date,count,mean,std,min,5%,50%,95%,max
2021-01-01,7.0,0.91857,0.020764,0.89233,0.896187,0.913801,0.94798,0.955288
2021-01-02,7.0,0.911893,0.025321,0.887758,0.888846,0.901041,0.94816,0.950174
2021-01-03,7.0,0.902493,0.02782,0.875201,0.878046,0.887545,0.94174,0.941811
2021-01-04,7.0,0.894162,0.030106,0.857846,0.862438,0.88749,0.935902,0.937073
2021-01-05,7.0,0.888856,0.033146,0.843974,0.848083,0.887267,0.929932,0.93239
2021-01-06,7.0,0.888797,0.03344,0.84552,0.849165,0.901044,0.923829,0.927505
2021-01-07,7.0,0.894664,0.031896,0.845543,0.850319,0.904948,0.926471,0.928218
2021-01-08,7.0,0.906677,0.027959,0.861488,0.868617,0.91118,0.939465,0.942212
2021-01-09,7.0,0.922835,0.027382,0.885273,0.889665,0.912412,0.955337,0.957144
2021-01-10,7.0,0.941126,0.031056,0.905816,0.907535,0.942741,0.973856,0.975357
2021-01-11,7.0,0.957439,0.037351,0.911749,0.911912,0.962904,1.003381,1.01104
2021-01-12,7.0,0.968698,0.045978,0.912014,0.914214,0.970946,1.030569,1.038946
2021-01-13,7.0,0.970818,0.049161,0.912345,0.916735,0.951429,1.030851,1.038489
2021-01-14,7.0,0.963163,0.047771,0.912746,0.918429,0.935171,1.030721,1.038482
2021-01-15,7.0,0.946594,0.037586,0.911432,0.911969,0.94164,1.002632,1.012607
2021-01-16,7.0,0.926959,0.029422,0.890353,0.895988,0.914781,0.969637,0.979354
2021-01-17,7.0,0.906685,0.026554,0.868105,0.872171,0.911668,0.940418,0.946961
2021-01-18,7.0,0.887769,0.029608,0.847024,0.847557,0.897683,0.915027,0.915198
2021-01-19,7.0,0.873175,0.034071,0.817332,0.826238,0.881581,0.906436,0.907162
2021-01-20,7.0,0.866054,0.035008,0.817388,0.821439,0.869192,0.903157,0.904742
2021-01-21,7.0,0.867607,0.033611,0.817389,0.821458,0.881917,0.901711,0.902199
2021-01-22,7.0,0.878283,0.027006,0.830954,0.838409,0.8851,0.901813,0.901847
2021-01-23,7.0,0.895644,0.022467,0.855805,0.864607,0.898828,0.920335,0.92096
2021-01-24,7.0,0.918071,0.024085,0.885145,0.891405,0.911329,0.952312,0.956722
2021-01-25,7.0,0.94424,0.02953,0.918653,0.91873,0.927586,0.987306,0.997924
2021-01-26,7.0,0.969587,0.034514,0.933579,0.936914,0.956737,1.021925,1.032214
2021-01-27,7.0,0.986952,0.028749,0.949651,0.953734,0.977114,1.026161,1.03219
2021-01-28,7.0,0.994915,0.022131,0.966739,0.971569,0.983937,1.026156,1.03219
2021-01-29,7.0,0.993488,0.022063,0.956426,0.964677,0.990184,1.020384,1.023945
2021-01-30,7.0,0.98484,0.031588,0.928983,0.937216,0.996893,1.014691,1.018423
2021-01-31,7.0,0.969971,0.042883,0.90105,0.909433,0.982249,1.01292,1.016882
2021-02-01,7.0,0.949228,0.050649,0.87205,0.880755,0.958904,1.004535,1.006915
2021-02-02,7.0,0.925751,0.05254,0.851169,0.857442,0.935534,0.985148,0.988907
2021-02-03,7.0,0.911437,0.042859,0.851202,0.857465,0.911736,0.963602,0.967709
2021-02-04,7.0,0.909324,0.035697,0.851202,0.861968,0.909284,0.94808,0.948727
2021-02-05,7.0,0.920365,0.048935,0.870071,0.874619,0.908526,0.994413,1.014007
2021-02-06,7.0,0.944544,0.07819,0.868941,0.873646,0.908266,1.063142,1.084234
2021-02-07,7.0,0.981984,0.108549,0.868534,0.872007,0.962269,1.134423,1.155989
2021-02-08,7.0,1.032464,0.130939,0.865298,0.878453,1.022119,1.204529,1.225408
2021-02-09,7.0,1.092039,0.133872,0.910352,0.927149,1.085609,1.258702,1.273065
2021-02-10,7.0,1.138666,0.111211,0.973561,0.990427,1.149878,1.258569,1.272858
2021-02-11,7.0,1.169128,0.078229,1.043812,1.059759,1.172178,1.258578,1.272858
2021-02-12,7.0,1.184067,0.052699,1.117997,1.120734,1.172424,1.246734,1.255939
2021-02-13,7.0,1.185742,0.06233,1.087652,1.09962,1.192143,1.256586,1.268227
2021-02-14,7.0,1.172391,0.085682,1.052099,1.06294,1.183792,1.269208,1.27226
2021-02-15,7.0,1.143578,0.099686,1.019222,1.029304,1.150324,1.280142,1.305887
2021-02-16,7.0,1.101943,0.086829,0.991419,1.000023,1.12097,1.217588,1.240743
2021-02-17,7.0,1.066408,0.069878,0.984283,0.986689,1.084925,1.15575,1.172983
2021-02-18,7.0,1.038179,0.053035,0.980472,0.981626,1.049666,1.10343,1.116321
2021-02-19,7.0,1.015421,0.036282,0.976623,0.977491,1.016999,1.06141,1.067012
2021-02-20,7.0,0.99482,0.021852,0.972725,0.973308,0.989635,1.024367,1.025159
2021-02-21,7.0,0.979067,0.011948,0.968766,0.969064,0.974669,0.997284,1.002696
2021-02-22,7.0,0.970861,0.012878,0.948652,0.953477,0.969758,0.983736,0.983922
2021-02-23,7.0,0.97076,0.016179,0.959366,0.959459,0.963953,0.996725,1.003064
2021-02-24,7.0,0.975447,0.026971,0.937778,0.944039,0.980553,1.011418,1.022628
2021-02-25,7.0,0.985098,0.040596,0.915779,0.92864,0.983358,1.032305,1.042334
2021-02-26,7.0,1.000407,0.052758,0.901057,0.92406,1.013692,1.053252,1.061891
2021-02-27,7.0,1.024236,0.05111,0.935837,0.949126,1.044879,1.073929,1.08101
2021-02-28,7.0,1.052736,0.042991,0.983417,0.990234,1.076208,1.09166,1.096061
2021-03-01,7.0,1.078656,0.031013,1.034721,1.035395,1.090557,1.106255,1.106937
